date,symbol,open,close,low, high, volume
2016-01-15,BTC,421.95,370.12,357.0,424.47,33439.61921115999
2016-01-16,BTC,369.19,389.73,350.92,391.0,16465.747611000003
2016-01-17,BTC,389.7,379.92,372.0,389.87,7652.794793140009
2016-01-18,BTC,379.94,383.16,370.1,385.81,8922.478038560006
2016-01-19,BTC,383.16,375.54,369.0,385.5,9211.38793109999
2016-01-20,BTC,375.54,422.6,374.92,425.0,14034.152199070028
2016-01-21,BTC,422.59,406.47,403.21,422.64,8300.059996350003
2016-01-22,BTC,406.47,388.15,373.86,412.06,14366.554470490004
2016-01-23,BTC,388.11,390.28,382.55,395.8,6717.362712380024
2016-01-24,BTC,390.28,398.33,388.59,406.21,6111.909901330031
2016-01-25,BTC,398.33,392.69,386.41,401.66,7283.386073620004
2016-01-26,BTC,392.33,392.89,387.78,397.0,7350.07938187999
2016-01-27,BTC,392.72,393.35,392.09,397.16,6699.273038690002
2016-01-28,BTC,393.35,370.32,366.81,394.23,11046.668545430028
2016-01-29,BTC,369.99,380.57,363.25,385.0,10553.988082810003
2016-01-30,BTC,380.57,380.51,375.0,382.01,4238.048399210007
2016-01-31,BTC,380.57,367.65,365.0,382.34,6160.929648970004
2016-02-01,BTC,367.65,372.49,367.25,378.84,7706.342508260019
2016-02-02,BTC,372.49,372.18,371.3,374.3,7546.945273519987
